Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets,TenWickets
A Dananjaya,Sri Lanka,2012,2024,81,85,116.5,1,3593,122,29.215288478000343,5.646519478444705,33.72794042116076,6/29,2,6,0
A Davidson Soler,ESP,2024,2024,9,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Daxini,CRT,2023,2023,4,2,1.3,0,24,0,Inf,16,Inf,NA,0,0,0
A Denuwan,ITA,2022,2022,3,3,6.2,0,50,1,50,7.894736842105264,38,1/17,0,0,0
A Desai,United States of America,2024,2024,1,1,2,0,21,0,Inf,10.5,Inf,NA,0,0,0
A Dhingra,LUX,2021,2023,18,18,56.3,1,449,18,24.944444444444443,7.946902654867257,18.833333333333332,2/26,0,0,0
A Dizija,SRB,2022,2024,25,4,10.1,0,128,2,64,12.590163934426231,30.5,1/17,0,0,0
A Djorovic,SRB,2019,2023,11,9,21.3,1,215,1,215,10,129,1/31,0,0,0
A Dolphin,England,1921,1921,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Donovan,PHI,2024,2024,3,3,4,0,31,0,Inf,7.75,Inf,NA,0,0,0
A Dowling,BUL,2024,2024,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Ducat,England,1921,1921,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Dutt,NED,2021,2024,62,62,49,1,2158,67,29.17769607843137,6.254595323322951,30.707107843137255,6/34,0,1,0
A Faletar,CRT,2023,2023,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Ferguson,Arg,2019,2023,19,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Fielder,England,1904,1908,6,10,0,0,711,26,27.346153846153847,2.8611670020120723,57.34615384615385,6/82,0,1,0
A Flintoff,England,2005,2007,7,7,25,0,161,5,32.2,6.44,30,2/23,0,0,0
A Flintoff (Eng/Icc),NA,1998,2009,220,256,0,0,11531,395,28.586113002042204,3.685114534411272,49.716486882756456,5/58,6,5,0
A Flower,Zimbabwe,1992,2003,276,4,0,0,27,0,Inf,6.3,Inf,NA,0,0,0
A Gandotra,India,1969,1969,2,1,0,0,5,0,Inf,5,Inf,NA,0,0,0
A Gasteratos,GRC,2022,2024,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Gavde,CAY,2019,2019,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Gbla,Sri LankaE,2021,2024,28,18,43.5,1,265,23,11.521739130434783,6.0456273764258555,11.434782608695652,5/16,1,1,0
A Gorawara,Hong Kong,2023,2024,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Govorko,CRT,2024,2024,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Greenwood,England,1877,1877,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Habib,England,1999,1999,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Halbhavi,LUX,2021,2023,16,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Harikumar,BUL,2021,2021,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Harris,Bhm,2021,2022,6,2,3,0,29,0,Inf,9.666666666666666,Inf,NA,0,0,0
A Hearne,England,1892,1892,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
A Hill,England,1877,1877,2,4,0,0,130,7,18.571428571428573,2.294117647058824,48.57142857142857,4/27,0,0,0
A Hurwood,Australia,1930,1931,2,4,0,0,170,11,15.454545454545455,1.9729206963249515,47,4/22,0,0,0
